code,year,d_alcohol_use_disorders,d_neonatal_disorders,d_conflict_and_terrorism,d_diarrheal_diseases,d_environmental_heat_and_cold_exposure
AFG,1990,72,15612,1490,4235,175
AFG,1991,75,17128,3370,4927,113
AFG,1992,80,20060,4344,6123,38
AFG,1993,85,22335,4096,8174,41
AFG,1994,88,23288,8959,8215,44
AFG,1995,91,23722,5525,9566,46
AFG,1996,93,24104,3255,9682,49
AFG,1997,96,24368,6723,10656,50
AFG,1998,97,24010,12073,11155,51
AFG,1999,98,23386,5104,11313,51
AFG,2000,99,22920,5429,11323,52
AFG,2001,101,23276,5689,11446,380
AFG,2002,101,23976,977,11393,53
AFG,2003,104,24628,864,12348,55
AFG,2004,107,24780,1049,12258,57
AFG,2005,109,24725,2114,11532,78
AFG,2006,110,24229,5677,10356,57
AFG,2007,111,23890,8220,9320,57
AFG,2008,114,23792,6895,8275,57
AFG,2009,115,23672,7617,7359,57
AFG,2010,118,23821,8273,6889,57
AFG,2011,120,23951,9142,6412,58
AFG,2012,124,24057,11350,6008,103
AFG,2013,126,24234,11829,5986,58
AFG,2014,128,24163,18008,5751,57
AFG,2015,131,23953,23667,5509,58
AFG,2016,135,23956,28051,5376,58
AFG,2017,139,23956,19356,5328,59
AFG,2018,143,23841,27079,4597,59
AFG,2019,147,23701,24295,4320,59
WHO,1990,4098,636099,74534,931601,4236
WHO,1991,4199,644498,30864,953765,4318
WHO,1992,4323,654317,9683,942943,4433
WHO,1993,4377,665821,18618,939403,4477
WHO,1994,4485,677899,532119,958854,4573
WHO,1995,4582,690353,28496,950527,4659
WHO,1996,4683,702368,55439,952899,4750
WHO,1997,4843,714742,69745,949363,4812
WHO,1998,4938,726950,74054,944588,4909
WHO,1999,4965,737415,103105,935033,4958
WHO,2000,5014,746944,86062,920205,5034
WHO,2001,5017,756089,29179,905740,5069
WHO,2002,5079,766943,34932,884881,5194
WHO,2003,5169,777999,30846,859799,5230
WHO,2004,5250,788135,20148,836517,5223
WHO,2005,5320,799180,17479,818603,5250
WHO,2006,5415,806174,6419,817072,5313
WHO,2007,5484,812008,5278,801386,5356
WHO,2008,5578,814701,9782,782170,5331
WHO,2009,5713,815765,17706,767137,5354
WHO,2010,5835,815881,6128,745735,5344
WHO,2011,5982,816032,6727,722725,5315
WHO,2012,6134,813920,8152,701462,5320
WHO,2013,6303,810553,19938,685617,5360
WHO,2014,6472,804266,27247,671049,5427
WHO,2015,6603,794969,24033,653813,5442
WHO,2016,6735,786830,13019,642033,5455
WHO,2017,6898,772864,18316,632875,5429
WHO,2018,7078,761498,15283,601166,5407
WHO,2019,7261,749955,9519,576592,5391
ALB,1990,10,871,0,76,5
ALB,1991,11,863,0,76,5
ALB,1992,11,849,1,73,5
ALB,1993,11,840,2,66,5
ALB,1994,12,833,18,79,5
ALB,1995,13,806,2,41,6
ALB,1996,13,788,8,32,6
ALB,1997,14,813,2026,27,7
ALB,1998,15,836,5,22,7
ALB,1999,15,779,12,17,7
ALB,2000,14,711,1,15,6
ALB,2001,15,663,5,13,6
ALB,2002,15,617,1,11,6
ALB,2003,16,569,0,10,6
ALB,2004,16,516,9,10,8
ALB,2005,16,470,10,9,5
ALB,2006,16,430,18,8,4
ALB,2007,16,392,18,8,4
ALB,2008,17,365,8,7,4
ALB,2009,16,335,0,7,4
ALB,2010,17,308,0,7,5
ALB,2011,17,293,0,7,5
ALB,2012,17,269,0,7,9
ALB,2013,17,243,0,7,4
ALB,2014,18,218,1,7,4
ALB,2015,18,199,0,7,4
ALB,2016,18,186,0,7,4
ALB,2017,18,176,0,7,10
ALB,2018,18,168,0,7,4
ALB,2019,18,161,0,7,4
DZA,1990,75,17931,4,2908,35
DZA,1991,76,17421,76,2598,34
DZA,1992,78,16918,510,2363,34
DZA,1993,80,16442,826,2160,34
DZA,1994,82,15878,2428,1994,34
DZA,1995,84,15272,3425,1836,33
DZA,1996,85,14748,1620,1644,33
DZA,1997,86,14322,4905,1545,33
DZA,1998,87,13937,4410,1434,33
DZA,1999,89,13633,1519,1345,33
DZA,2000,89,13420,2534,1247,33
DZA,2001,89,13183,1330,1147,33
DZA,2002,90,13010,1597,1040,34
DZA,2003,89,12955,932,949,73
DZA,2004,90,12900,577,879,33
DZA,2005,90,12846,324,810,33
DZA,2006,91,12801,406,762,33
DZA,2007,92,12719,700,720,33
DZA,2008,92,12660,507,683,33
DZA,2009,93,12564,637,650,33
DZA,2010,94,12387,318,621,33
DZA,2011,96,12184,342,602,33
DZA,2012,98,11899,290,587,33
DZA,2013,99,11758,216,577,33
DZA,2014,101,11653,114,573,33
DZA,2015,103,11344,112,568,33
DZA,2016,104,10817,92,559,32
DZA,2017,106,10019,107,546,32
DZA,2018,109,9337,76,536,32
DZA,2019,111,8756,13,527,40
ASM,1990,0,12,0,3,1
ASM,1991,0,12,0,3,1
ASM,1992,1,12,0,3,1
ASM,1993,1,12,0,3,1
ASM,1994,1,12,0,3,1
ASM,1995,1,12,0,3,1
ASM,1996,1,11,0,3,1
ASM,1997,1,11,0,3,1
ASM,1998,1,11,0,3,1
ASM,1999,1,11,0,3,1
ASM,2000,1,10,0,2,1
ASM,2001,1,10,0,3,1
ASM,2002,1,10,0,3,1
ASM,2003,0,9,1,3,1
ASM,2004,0,9,1,3,1
ASM,2005,0,8,2,3,1
ASM,2006,0,7,2,3,1
ASM,2007,0,7,2,3,1
ASM,2008,0,6,1,3,1
ASM,2009,0,6,0,3,1
ASM,2010,0,6,0,3,1
ASM,2011,0,5,0,3,1
ASM,2012,0,5,0,3,1
ASM,2013,0,5,1,3,1
ASM,2014,1,5,0,3,1
ASM,2015,1,5,0,3,0
ASM,2016,1,5,0,3,0
ASM,2017,1,4,0,3,0
ASM,2018,1,4,0,3,0
ASM,2019,1,4,0,3,0
AND,1990,1,1,0,0,0
AND,1991,1,1,0,0,0
AND,1992,1,1,0,0,0
AND,1993,1,1,0,0,0
AND,1994,1,1,0,0,0
AND,1995,1,1,0,0,0
AND,1996,1,1,0,0,0
AND,1997,1,1,0,0,0
AND,1998,1,1,0,0,0
AND,1999,1,1,0,0,0
AND,2000,1,1,0,0,0
AND,2001,1,1,0,0,0
AND,2002,1,1,0,0,0
AND,2003,1,1,0,0,0
AND,2004,1,1,0,1,0
AND,2005,1,1,0,1,0
AND,2006,1,1,0,1,0
AND,2007,1,1,0,1,0
AND,2008,1,1,0,1,0
AND,2009,1,1,0,1,0
AND,2010,1,1,0,1,0
AND,2011,1,1,0,1,0
AND,2012,1,1,0,1,0
AND,2013,1,1,0,1,0
AND,2014,1,0,0,1,0
AND,2015,1,0,0,1,0
AND,2016,1,0,0,1,0
AND,2017,1,0,0,1,0
AND,2018,1,0,0,1,0
AND,2019,1,0,0,1,0
AGO,1990,98,14210,2756,35849,102
AGO,1991,101,14596,595,36176,103
AGO,1992,103,14954,2425,36301,106
AGO,1993,108,15384,12398,36931,110
AGO,1994,111,15824,4117,38031,114
AGO,1995,113,16276,267,38567,114
AGO,1996,111,16815,93,37603,111
AGO,1997,113,17346,2922,36872,111
AGO,1998,119,17763,14070,36356,116
AGO,1999,123,18150,7100,35307,119
AGO,2000,125,18518,3420,34141,120
AGO,2001,126,18906,3068,32011,121
AGO,2002,126,19258,600,29837,120
AGO,2003,130,19651,81,27656,121
AGO,2004,136,20008,50,26567,124
AGO,2005,137,20189,11,24854,123
AGO,2006,141,20245,12,25475,124
AGO,2007,143,20250,34,23500,125
AGO,2008,147,20218,5,22463,126
AGO,2009,153,20276,28,21581,125
AGO,2010,158,20369,23,21148,124
AGO,2011,164,20325,7,20827,123
AGO,2012,170,20305,6,20245,123
AGO,2013,175,20217,4,19421,122
AGO,2014,177,20048,0,18053,119
AGO,2015,182,19755,1,17058,118
AGO,2016,188,19349,36,15703,114
AGO,2017,196,18912,27,15071,115
AGO,2018,204,18615,31,13608,113
AGO,2019,211,18189,16,12936,114
ATG,1990,3,10,0,3,0
ATG,1991,3,10,1,3,0
ATG,1992,3,10,0,3,0
ATG,1993,3,11,0,3,0
ATG,1994,3,11,0,3,0
ATG,1995,3,12,0,3,0
ATG,1996,3,12,0,3,0
ATG,1997,4,12,0,2,0
ATG,1998,4,12,0,2,0
ATG,1999,4,11,0,2,0
ATG,2000,4,11,0,2,0
ATG,2001,4,11,0,2,0
ATG,2002,4,10,0,2,0
ATG,2003,4,10,0,2,0
ATG,2004,4,9,0,2,0
ATG,2005,4,9,0,2,0
ATG,2006,4,8,0,2,0
ATG,2007,5,8,0,2,0
ATG,2008,5,7,0,2,0
ATG,2009,5,7,0,1,0
ATG,2010,5,6,0,1,0
ATG,2011,6,6,0,1,0
ATG,2012,6,6,0,1,0
ATG,2013,6,5,0,1,0
ATG,2014,6,5,0,2,0
ATG,2015,6,5,0,2,0
ATG,2016,6,5,0,2,0
ATG,2017,7,5,0,2,0
ATG,2018,7,5,0,2,0
ATG,2019,7,4,0,2,0
ARG,1990,949,9407,162,1073,29
ARG,1991,992,9257,114,1006,32
ARG,1992,1028,8704,143,920,35
ARG,1993,1062,8334,125,839,37
ARG,1994,1101,7887,132,795,41
ARG,1995,1131,7514,40,798,45
ARG,1996,1145,7286,53,802,50
ARG,1997,1164,6972,3,827,57
ARG,1998,1121,6977,0,829,59
ARG,1999,1071,6564,0,808,63
ARG,2000,999,6168,0,760,94
ARG,2001,943,6002,0,745,66
ARG,2002,896,6218,0,759,62
ARG,2003,888,6186,0,736,60
ARG,2004,865,5763,0,686,58
ARG,2005,860,5141,0,651,59
ARG,2006,857,4872,0,643,56
ARG,2007,864,5055,0,650,93
ARG,2008,843,5055,0,649,54
ARG,2009,812,4849,0,660,52
ARG,2010,775,4794,0,687,52
ARG,2011,751,4622,0,710,48
ARG,2012,732,4332,0,723,48
ARG,2013,718,4281,0,745,48
ARG,2014,723,4216,0,766,46
ARG,2015,728,3831,0,781,45
ARG,2016,742,3614,1,803,44
ARG,2017,771,3438,0,786,45
ARG,2018,795,3336,0,761,44
ARG,2019,821,3272,0,757,45
ARM,1990,88,1155,25,385,183
ARM,1991,100,1060,0,370,197
ARM,1992,114,982,6,362,228
ARM,1993,131,918,12,335,231
ARM,1994,134,854,45,305,224
ARM,1995,136,781,10,266,205
ARM,1996,130,725,2,223,197
ARM,1997,123,667,0,191,186
ARM,1998,114,606,0,161,175
ARM,1999,107,545,8,134,165
ARM,2000,99,504,0,109,155
ARM,2001,94,476,1,87,155
ARM,2002,89,447,0,68,154
ARM,2003,76,427,0,56,152
ARM,2004,76,413,0,47,150
ARM,2005,72,396,1,39,151
ARM,2006,67,376,2,33,162
ARM,2007,67,349,16,28,138
ARM,2008,65,335,6,25,153
ARM,2009,63,321,5,23,143
ARM,2010,62,302,4,20,127
ARM,2011,61,284,5,19,109
ARM,2012,62,258,9,16,77
ARM,2013,63,238,6,16,63
ARM,2014,64,224,22,15,55
ARM,2015,65,210,51,14,49
ARM,2016,66,207,120,14,46
ARM,2017,67,186,0,14,47
ARM,2018,68,170,1,14,48
ARM,2019,69,156,0,13,47
AUS,1990,270,872,2,38,40
AUS,1991,272,812,4,43,40
AUS,1992,277,815,2,49,41
AUS,1993,287,746,0,57,56
AUS,1994,297,719,6,64,57
AUS,1995,314,694,0,70,53
AUS,1996,324,684,2,75,44
AUS,1997,347,662,0,73,42
AUS,1998,372,649,0,73,38
AUS,1999,400,674,0,78,36
AUS,2000,412,651,1,80,37
AUS,2001,418,640,4,87,34
AUS,2002,431,632,0,97,35
AUS,2003,442,620,0,106,38
AUS,2004,443,621,0,117,42
AUS,2005,454,651,0,123,42
AUS,2006,467,658,0,136,44
AUS,2007,483,652,0,148,46
AUS,2008,496,648,0,156,46
AUS,2009,503,649,2,167,77
AUS,2010,510,638,10,179,43
AUS,2011,511,608,11,197,41
AUS,2012,514,575,1,207,38
AUS,2013,522,572,0,206,36
AUS,2014,536,537,4,213,51
AUS,2015,553,542,3,218,34
AUS,2016,568,529,1,219,33
AUS,2017,575,511,0,220,35
AUS,2018,583,496,2,225,36
AUS,2019,590,487,0,228,37
AUT,1990,208,317,0,4,24
AUT,1991,219,316,0,4,24
AUT,1992,227,310,0,4,22
AUT,1993,230,280,0,4,21
AUT,1994,238,262,0,4,21
AUT,1995,255,233,6,4,21
AUT,1996,268,214,0,5,21
AUT,1997,278,194,0,5,20
AUT,1998,288,186,0,6,19
AUT,1999,297,175,0,7,20
AUT,2000,307,179,0,8,21
AUT,2001,321,180,0,11,23
AUT,2002,332,173,0,16,23
AUT,2003,354,183,0,21,38
AUT,2004,369,177,0,26,28
AUT,2005,377,168,0,33,32
AUT,2006,393,156,5,41,34
AUT,2007,411,149,9,52,37
AUT,2008,434,148,7,59,36
AUT,2009,448,148,1,67,49
AUT,2010,456,149,0,73,40
AUT,2011,468,139,0,80,40
AUT,2012,482,128,0,93,48
AUT,2013,494,126,2,102,41
AUT,2014,506,126,0,111,38
AUT,2015,519,128,0,123,39
AUT,2016,525,132,0,136,37
AUT,2017,524,129,0,142,36
AUT,2018,517,120,0,129,35
AUT,2019,517,115,0,125,35
AZE,1990,147,3087,31,1604,123
AZE,1991,171,2980,64,1518,134
AZE,1992,212,2848,2430,1447,157
AZE,1993,246,2745,1197,1388,166
AZE,1994,293,2686,1519,1319,171
AZE,1995,298,2633,54,1253,154
AZE,1996,291,2612,7,1146,145
AZE,1997,284,2611,30,1065,141
AZE,1998,274,2641,34,997,138
AZE,1999,258,2696,18,900,138
AZE,2000,242,2750,13,803,138
AZE,2001,227,2758,7,666,139
AZE,2002,217,2849,5,542,141
AZE,2003,213,2995,15,444,148
AZE,2004,204,3118,8,375,158
AZE,2005,202,3159,24,304,156
AZE,2006,192,3207,5,252,148
AZE,2007,178,3197,12,214,139
AZE,2008,187,3153,35,189,139
AZE,2009,192,3085,8,172,138
AZE,2010,197,3031,20,159,137
AZE,2011,202,2943,21,153,137
AZE,2012,205,2833,16,146,141
AZE,2013,206,2718,11,144,134
AZE,2014,207,2571,46,140,132
AZE,2015,208,2435,63,136,129
AZE,2016,209,2273,138,133,127
AZE,2017,213,2099,36,127,127
AZE,2018,220,1954,16,120,128
AZE,2019,225,1825,0,114,129
BHS,1990,7,54,0,7,1
BHS,1991,7,56,0,7,1
BHS,1992,8,57,0,7,1
BHS,1993,8,55,5,8,1
BHS,1994,9,51,6,7,1
BHS,1995,10,48,0,7,1
BHS,1996,10,47,1,7,1
BHS,1997,10,45,1,6,1
BHS,1998,11,41,2,6,1
BHS,1999,11,37,0,5,1
BHS,2000,12,34,0,4,1
BHS,2001,12,33,0,4,1
BHS,2002,12,34,0,4,1
BHS,2003,12,34,0,4,1
BHS,2004,12,35,0,4,1
BHS,2005,12,34,0,4,1
BHS,2006,13,33,0,4,1
BHS,2007,13,33,0,4,1
BHS,2008,14,32,0,4,1
BHS,2009,14,31,0,4,1
BHS,2010,15,29,0,4,1
BHS,2011,15,28,0,4,1
BHS,2012,15,27,0,4,1
BHS,2013,15,26,0,4,1
BHS,2014,16,25,0,4,1
BHS,2015,16,24,0,4,1
BHS,2016,17,23,0,4,1
BHS,2017,17,22,0,4,1
BHS,2018,18,22,0,4,1
BHS,2019,18,21,0,4,1
BHR,1990,2,142,0,7,0
BHR,1991,2,140,2,8,0
BHR,1992,3,133,0,8,0
BHR,1993,3,123,0,8,0
BHR,1994,3,110,0,8,0
BHR,1995,3,95,1,8,0
BHR,1996,3,79,8,8,0
BHR,1997,3,69,5,8,0
BHR,1998,3,64,0,8,0
BHR,1999,3,60,0,8,0
BHR,2000,3,59,0,8,0
BHR,2001,3,58,0,8,0
BHR,2002,3,57,0,8,0
BHR,2003,3,57,0,8,1
BHR,2004,3,59,0,9,1
BHR,2005,4,59,0,9,1
BHR,2006,4,58,0,9,1
BHR,2007,4,56,0,9,1
BHR,2008,4,55,1,9,1
BHR,2009,4,54,0,9,1
BHR,2010,5,52,0,9,1
BHR,2011,5,51,0,9,1
BHR,2012,5,52,4,9,1
BHR,2013,5,52,3,9,1
BHR,2014,5,52,9,9,1
BHR,2015,5,50,9,10,1
BHR,2016,5,45,3,10,1
BHR,2017,6,41,13,11,1
BHR,2018,6,37,0,11,1
BHR,2019,6,33,0,11,1
BGD,1990,242,143962,158,114670,205
BGD,1991,231,140911,164,110115,173
BGD,1992,235,136391,325,102810,173
BGD,1993,236,131495,12,96556,80
BGD,1994,237,126436,56,89424,108
BGD,1995,244,122598,41,82577,200
BGD,1996,243,119337,127,74608,279
BGD,1997,241,116245,19,67320,110
BGD,1998,239,112552,5,61254,196
BGD,1999,238,109057,31,56314,75
BGD,2000,245,105534,25,52596,126
BGD,2001,244,102772,61,48730,83
BGD,2002,245,100998,26,46072,427
BGD,2003,248,99038,10,43132,564
BGD,2004,253,96710,82,40571,150
BGD,2005,262,93580,123,38978,125
BGD,2006,271,89998,97,37507,126
BGD,2007,277,86638,19,35610,207
BGD,2008,277,83087,22,33338,76
BGD,2009,279,79128,20,32312,145
BGD,2010,280,75448,127,31548,147
BGD,2011,276,72192,402,30285,141
BGD,2012,277,67831,317,29560,103
BGD,2013,280,63358,141,30075,131
BGD,2014,285,59210,299,30824,88
BGD,2015,286,55251,163,31321,94
BGD,2016,295,51546,231,32195,99
BGD,2017,305,47404,139,33537,104
BGD,2018,314,43506,59,33110,143
BGD,2019,322,40175,155,32927,113
BRB,1990,4,43,0,9,0
BRB,1991,4,41,0,8,0
BRB,1992,4,38,6,8,0
BRB,1993,4,35,4,9,0
BRB,1994,4,34,0,8,0
BRB,1995,5,34,0,8,0
BRB,1996,5,34,0,8,0
BRB,1997,5,34,0,7,0
BRB,1998,5,34,0,6,0
BRB,1999,5,34,0,6,0
BRB,2000,6,34,0,5,0
BRB,2001,5,32,0,5,0
BRB,2002,6,32,0,5,0
BRB,2003,6,32,0,5,0
BRB,2004,6,30,0,5,0
BRB,2005,6,30,0,5,0
BRB,2006,6,29,0,5,0
BRB,2007,6,28,0,5,0
BRB,2008,6,27,0,5,0
BRB,2009,6,27,0,4,0
BRB,2010,6,26,0,4,0
BRB,2011,6,25,0,4,0
BRB,2012,7,23,0,4,0
BRB,2013,7,23,0,4,0
BRB,2014,7,22,0,4,0
BRB,2015,7,22,0,4,0
BRB,2016,7,21,0,5,0
BRB,2017,7,21,0,5,0
BRB,2018,7,20,0,5,0
BRB,2019,8,20,0,5,0
BLR,1990,1398,853,0,56,777
BLR,1991,1546,819,0,55,801
BLR,1992,1738,760,0,53,841
BLR,1993,1976,680,0,52,934
BLR,1994,2128,643,0,52,944
BLR,1995,2282,588,0,50,980
BLR,1996,2378,527,0,45,943
BLR,1997,2506,505,1,43,921
BLR,1998,2647,501,0,42,917
BLR,1999,2725,473,0,41,916
BLR,2000,2705,439,0,34,840
BLR,2001,2790,399,0,31,883
BLR,2002,2816,370,11,25,919
BLR,2003,2763,353,9,21,902
BLR,2004,2669,341,0,18,992
BLR,2005,2630,340,0,16,1100
BLR,2006,2551,342,0,14,1099
BLR,2007,2478,343,12,12,1029
BLR,2008,2426,327,12,11,1156
BLR,2009,2555,311,11,12,1173
BLR,2010,2917,290,8,12,1125
BLR,2011,2996,276,26,13,1190
BLR,2012,2899,264,0,13,913
BLR,2013,3077,254,7,14,806
BLR,2014,3143,239,6,14,732
BLR,2015,3057,221,0,13,668
BLR,2016,3037,209,1,13,638
BLR,2017,3016,192,0,13,673
BLR,2018,2989,175,0,13,622
BLR,2019,2973,160,0,13,619
BEL,1990,242,428,22,96,28
BEL,1991,250,423,54,103,30
BEL,1992,261,409,1,112,38
BEL,1993,269,382,0,122,43
BEL,1994,277,350,0,128,46
BEL,1995,276,308,0,142,46
BEL,1996,285,278,0,151,43
BEL,1997,294,274,4,167,46
BEL,1998,318,260,0,187,40
BEL,1999,328,252,2,212,39
BEL,2000,348,252,0,261,37
BEL,2001,362,240,0,309,35
BEL,2002,367,228,0,370,37
BEL,2003,375,225,0,439,78
BEL,2004,384,216,1,499,38
BEL,2005,394,224,2,558,43
BEL,2006,411,228,0,601,111
BEL,2007,427,231,0,646,43
BEL,2008,456,222,0,706,44
BEL,2009,466,219,0,755,45
BEL,2010,476,221,0,779,47
BEL,2011,490,216,0,794,44
BEL,2012,508,221,1,812,53
BEL,2013,520,211,0,855,48
BEL,2014,522,203,4,852,45
BEL,2015,530,196,0,898,63
BEL,2016,529,188,70,890,48
BEL,2017,529,182,0,884,48
BEL,2018,525,176,4,891,48
BEL,2019,525,171,0,898,48
BLZ,1990,2,90,6,27,0
BLZ,1991,2,87,18,25,0
BLZ,1992,2,84,1,22,0
BLZ,1993,2,82,7,20,0
BLZ,1994,3,78,14,19,0
BLZ,1995,3,76,7,19,0
BLZ,1996,3,76,1,19,0
BLZ,1997,4,76,0,19,0
BLZ,1998,4,76,0,18,0
BLZ,1999,5,76,0,17,0
BLZ,2000,5,76,0,16,0
BLZ,2001,5,76,0,14,0
BLZ,2002,5,75,0,13,0
BLZ,2003,5,73,0,13,0
BLZ,2004,5,72,0,13,0
BLZ,2005,5,71,0,12,0
BLZ,2006,6,70,0,12,0
BLZ,2007,6,69,0,12,0
BLZ,2008,6,68,0,12,0
BLZ,2009,7,67,0,11,0
BLZ,2010,7,66,0,11,0
BLZ,2011,7,66,0,11,0
BLZ,2012,8,63,0,11,0
BLZ,2013,8,62,0,10,0
BLZ,2014,9,60,0,11,0
BLZ,2015,9,60,0,11,0
BLZ,2016,10,60,0,11,0
BLZ,2017,10,58,0,11,0
BLZ,2018,11,57,0,11,0
BLZ,2019,11,57,0,11,0
BEN,1990,32,8284,0,7514,37
BEN,1991,32,8415,0,7786,38
BEN,1992,33,8539,0,7565,40
BEN,1993,34,8649,0,7510,41
BEN,1994,35,8783,0,7509,43
BEN,1995,36,8930,0,7459,45
BEN,1996,37,9070,0,7603,47
BEN,1997,38,9238,0,7371,49
BEN,1998,39,9408,0,7320,51
BEN,1999,40,9592,0,7256,53
BEN,2000,41,9792,0,7154,54
BEN,2001,41,9960,0,6889,55
BEN,2002,42,10118,0,6899,57
BEN,2003,43,10266,0,6654,57
BEN,2004,44,10454,0,6572,58
BEN,2005,44,10678,0,6307,59
BEN,2006,45,10896,0,6160,59
BEN,2007,46,11140,0,5962,60
BEN,2008,48,11434,0,5836,62
BEN,2009,50,11743,1,5800,64
BEN,2010,52,12035,0,5759,66
BEN,2011,54,12336,0,5703,68
BEN,2012,56,12517,0,5774,70
BEN,2013,58,12618,0,5801,71
BEN,2014,59,12658,0,5766,72
BEN,2015,61,12735,3,5961,75
BEN,2016,62,12811,13,6012,76
BEN,2017,65,12877,13,6051,76
BEN,2018,66,12737,0,5499,74
BEN,2019,68,12609,1,5268,74
BMU,1990,1,4,0,1,0
BMU,1991,1,4,0,1,0
BMU,1992,1,4,0,1,0
BMU,1993,1,4,0,1,0
BMU,1994,1,3,0,1,0
BMU,1995,1,3,0,1,0
BMU,1996,1,3,0,1,0
BMU,1997,1,2,0,1,0
BMU,1998,1,2,0,1,0
BMU,1999,1,2,0,1,0
BMU,2000,1,2,0,1,0
BMU,2001,1,2,0,0,0
BMU,2002,1,2,0,0,0
BMU,2003,1,2,0,0,0
BMU,2004,1,2,0,0,0
BMU,2005,1,2,0,0,0
BMU,2006,1,2,0,0,0
BMU,2007,1,2,0,0,0
BMU,2008,1,2,0,0,0
BMU,2009,1,2,0,0,0
BMU,2010,1,2,0,0,0
BMU,2011,1,2,0,0,0
BMU,2012,1,2,0,0,0
BMU,2013,1,1,0,0,0
BMU,2014,1,1,0,0,0
BMU,2015,1,1,0,0,0
BMU,2016,1,1,0,0,0
BMU,2017,1,1,0,0,0
BMU,2018,1,1,0,0,0
BMU,2019,1,1,0,0,0
BTN,1990,4,934,0,380,1
BTN,1991,4,853,0,387,1
BTN,1992,4,789,0,357,1
BTN,1993,4,755,0,335,1
BTN,1994,4,733,0,320,1
BTN,1995,4,716,0,308,1
BTN,1996,4,702,0,299,1
BTN,1997,4,690,4,289,1
BTN,1998,5,676,0,274,2
BTN,1999,5,654,0,248,1
BTN,2000,5,633,0,242,2
BTN,2001,5,607,0,230,2
BTN,2002,5,580,0,213,2
BTN,2003,5,553,0,202,2
BTN,2004,5,524,0,189,2
BTN,2005,5,498,0,176,2
BTN,2006,5,476,4,163,2
BTN,2007,5,459,0,167,2
BTN,2008,6,442,5,160,2
BTN,2009,6,425,0,154,2
BTN,2010,6,406,0,149,2
BTN,2011,6,388,0,144,2
BTN,2012,6,369,0,139,2
BTN,2013,6,351,0,136,2
BTN,2014,6,332,0,133,2
BTN,2015,6,313,0,130,2
BTN,2016,7,293,0,127,2
BTN,2017,7,272,0,126,2
BTN,2018,7,252,0,122,2
BTN,2019,7,235,0,119,2
BOL,1990,231,6482,6,2903,20
BOL,1991,237,6381,7,3072,20
BOL,1992,243,6278,5,2985,20
BOL,1993,249,6164,0,2741,20
BOL,1994,253,6062,1,2432,20
BOL,1995,260,5960,0,2334,20
BOL,1996,264,5861,0,2242,21
BOL,1997,274,5769,4,2048,21
BOL,1998,280,5666,0,1944,21
BOL,1999,285,5569,0,1854,22
BOL,2000,287,5493,0,1723,28
BOL,2001,285,5393,0,1606,31
BOL,2002,284,5284,0,1486,22
BOL,2003,284,5187,0,1379,21
BOL,2004,283,5128,2,1278,21
BOL,2005,284,5058,0,1208,21
BOL,2006,287,4989,0,1126,21
BOL,2007,292,4940,0,1052,21
BOL,2008,297,4891,0,991,21
BOL,2009,302,4847,0,947,21
BOL,2010,307,4808,0,900,25
BOL,2011,312,4760,0,859,21
BOL,2012,318,4696,0,827,21
BOL,2013,324,4634,0,806,40
BOL,2014,329,4527,0,818,23
BOL,2015,337,4413,0,782,22
BOL,2016,346,4290,0,732,21
BOL,2017,353,4185,0,724,21
BOL,2018,361,3977,0,703,21
BOL,2019,368,3809,0,688,21
BIH,1990,295,716,488,25,3
BIH,1991,331,659,512,24,4
BIH,1992,328,618,7686,23,4
BIH,1993,330,556,5812,21,4
BIH,1994,328,491,3140,20,4
BIH,1995,321,424,9757,18,4
BIH,1996,311,375,2,16,3
BIH,1997,301,344,5,14,3
BIH,1998,280,309,2,12,3
BIH,1999,264,273,1,10,3
BIH,2000,242,257,1,10,4
BIH,2001,206,214,0,9,4
BIH,2002,175,224,0,10,6
BIH,2003,150,188,0,9,8
BIH,2004,130,168,0,9,10
BIH,2005,124,158,0,9,12
BIH,2006,113,154,0,8,14
BIH,2007,113,145,1,8,16
BIH,2008,103,141,2,8,16
BIH,2009,99,133,0,8,17
BIH,2010,95,128,1,8,18
BIH,2011,93,113,0,7,16
BIH,2012,92,103,0,8,19
BIH,2013,93,101,0,8,15
BIH,2014,93,92,0,8,14
BIH,2015,93,100,4,8,15
BIH,2016,91,99,0,9,15
BIH,2017,90,86,0,8,15
BIH,2018,90,80,0,8,14
BIH,2019,90,74,0,8,14
BWA,1990,13,812,7,1001,14
BWA,1991,13,821,0,987,14
BWA,1992,14,834,0,983,15
BWA,1993,16,853,0,969,16
BWA,1994,17,870,0,968,18
BWA,1995,19,884,0,965,19
BWA,1996,20,897,0,954,20
BWA,1997,21,909,0,945,21
BWA,1998,22,929,0,984,22
BWA,1999,23,944,0,992,22
BWA,2000,23,962,0,996,22
BWA,2001,24,977,0,993,23
BWA,2002,24,992,0,967,22
BWA,2003,24,1007,0,924,22
BWA,2004,23,1015,0,889,22
BWA,2005,23,1005,0,867,21
BWA,2006,22,1001,0,1309,21
BWA,2007,22,1003,0,786,20
BWA,2008,22,998,0,750,20
BWA,2009,23,993,1,723,19
BWA,2010,23,994,0,694,19
BWA,2011,24,990,0,667,19
BWA,2012,24,973,0,636,19
BWA,2013,25,951,0,605,18
BWA,2014,25,931,0,586,18
BWA,2015,26,913,0,566,18
BWA,2016,26,893,0,548,18
BWA,2017,27,874,0,548,18
BWA,2018,28,859,0,534,18
BWA,2019,29,850,0,524,18
