code,year,d_hiv_aids,d_drug_use_disorders,d_selfharm
EST,1997,3,30,524
EST,1998,3,36,528
EST,1999,1,40,484
EST,2000,5,46,453
EST,2001,5,55,463
EST,2002,4,65,434
EST,2003,8,65,397
EST,2004,20,77,378
EST,2005,32,78,351
EST,2006,46,86,341
EST,2007,37,100,341
EST,2008,41,101,300
EST,2009,48,108,278
EST,2010,43,106,249
EST,2011,55,115,249
EST,2012,48,125,250
EST,2013,51,113,226
EST,2014,46,112,228
EST,2015,43,109,213
EST,2016,40,115,212
EST,2017,38,122,213
EST,2018,36,125,211
EST,2019,34,128,208
SWZ,1990,25,1,87
SWZ,1991,74,2,91
SWZ,1992,189,2,94
SWZ,1993,418,2,97
SWZ,1994,807,2,103
SWZ,1995,1384,2,112
SWZ,1996,2148,2,123
SWZ,1997,3077,2,131
SWZ,1998,4134,3,144
SWZ,1999,5283,3,158
SWZ,2000,6467,3,176
SWZ,2001,7583,4,192
SWZ,2002,8572,4,206
SWZ,2003,9432,4,217
SWZ,2004,10048,4,225
SWZ,2005,10039,4,230
SWZ,2006,9514,4,230
SWZ,2007,9038,4,232
SWZ,2008,8633,4,234
SWZ,2009,8210,4,236
SWZ,2010,7346,4,233
SWZ,2011,6459,4,229
SWZ,2012,6016,4,229
SWZ,2013,5532,4,229
SWZ,2014,4963,4,228
SWZ,2015,4435,4,228
SWZ,2016,4009,4,227
SWZ,2017,3667,4,227
SWZ,2018,3424,4,227
SWZ,2019,3321,4,226
ETH,1990,14756,116,5877
ETH,1991,22282,118,5907
ETH,1992,31827,123,6021
ETH,1993,42829,127,6078
ETH,1994,54745,128,6100
ETH,1995,66627,130,6111
ETH,1996,77549,130,6052
ETH,1997,86787,130,6031
ETH,1998,93876,133,6070
ETH,1999,98723,133,6043
ETH,2000,101561,129,5900
ETH,2001,102293,126,5766
ETH,2002,101366,125,5693
ETH,2003,99077,125,5645
ETH,2004,95326,127,5609
ETH,2005,87408,131,5578
ETH,2006,77675,133,5534
ETH,2007,68887,139,5468
ETH,2008,60273,146,5419
ETH,2009,53142,163,5408
ETH,2010,47038,150,5361
ETH,2011,42083,156,5313
ETH,2012,39202,152,5184
ETH,2013,37873,158,5045
ETH,2014,35993,166,5050
ETH,2015,33726,170,5088
ETH,2016,31571,182,5213
ETH,2017,29600,194,5367
ETH,2018,27743,206,5527
ETH,2019,26591,217,5655
WB,1990,15958,12151,158037
WB,1991,19355,13492,162997
WB,1992,22778,15002,173054
WB,1993,26841,16917,190979
WB,1994,30828,18400,203434
WB,1995,33788,18842,202963
WB,1996,32358,18893,195288
WB,1997,24781,18908,187388
WB,1998,20832,19501,183818
WB,1999,23285,21088,189951
WB,2000,24021,22336,192166
WB,2001,23564,22095,189411
WB,2002,23501,21832,187358
WB,2003,24670,22368,185456
WB,2004,24763,23147,181356
WB,2005,28555,25043,182970
WB,2006,28314,25094,173290
WB,2007,29263,25019,167993
WB,2008,30234,25068,165616
WB,2009,29967,23647,158402
WB,2010,30524,23192,156122
WB,2011,31473,22028,150307
WB,2012,31374,21652,147437
WB,2013,29344,21498,145451
WB,2014,32144,21339,144184
WB,2015,34239,21072,146138
WB,2016,36462,20500,142104
WB,2017,33604,19946,138305
WB,2018,32319,20071,137753
WB,2019,31104,20245,136519
WHO,1990,15998,12206,158570
WHO,1991,19404,13545,163569
WHO,1992,22828,15054,173672
WHO,1993,26910,16965,191607
WHO,1994,30868,18444,204090
WHO,1995,33849,18884,203652
WHO,1996,32392,18938,196015
WHO,1997,24819,18957,188154
WHO,1998,20870,19561,184580
WHO,1999,23318,21157,190693
WHO,2000,24053,22422,192910
WHO,2001,23600,22189,190173
WHO,2002,23531,21932,188116
WHO,2003,24704,22463,186201
WHO,2004,24795,23238,182081
WHO,2005,28589,25124,183701
WHO,2006,28348,25171,174019
WHO,2007,29315,25095,168729
WHO,2008,30272,25141,166345
WHO,2009,30006,23716,159135
WHO,2010,30557,23258,156854
WHO,2011,31515,22091,151024
WHO,2012,31421,21712,148150
WHO,2013,29392,21562,146157
WHO,2014,32184,21403,144887
WHO,2015,34287,21138,146846
WHO,2016,36503,20569,142819
WHO,2017,33644,20021,139026
WHO,2018,32358,20150,138486
WHO,2019,31142,20329,137266
FJI,1990,2,2,78
FJI,1991,3,2,79
FJI,1992,4,2,78
FJI,1993,5,2,79
FJI,1994,6,2,78
FJI,1995,7,2,78
FJI,1996,8,2,79
FJI,1997,9,2,79
FJI,1998,10,2,76
FJI,1999,11,3,81
FJI,2000,11,3,85
FJI,2001,13,3,83
FJI,2002,13,3,81
FJI,2003,14,3,83
FJI,2004,14,3,79
FJI,2005,14,3,81
FJI,2006,13,2,80
FJI,2007,13,2,81
FJI,2008,12,2,83
FJI,2009,12,2,81
FJI,2010,12,2,82
FJI,2011,13,2,84
FJI,2012,12,2,86
FJI,2013,10,2,85
FJI,2014,10,2,85
FJI,2015,10,3,85
FJI,2016,11,3,85
FJI,2017,10,3,85
FJI,2018,9,3,85
FJI,2019,9,3,84
FIN,1990,14,155,1631
FIN,1991,19,163,1617
FIN,1992,23,163,1575
FIN,1993,21,165,1524
FIN,1994,20,168,1475
FIN,1995,23,178,1466
FIN,1996,30,192,1414
FIN,1997,11,197,1390
FIN,1998,11,194,1341
FIN,1999,13,200,1314
FIN,2000,11,205,1291
FIN,2001,5,208,1244
FIN,2002,9,212,1182
FIN,2003,13,220,1144
FIN,2004,11,238,1122
FIN,2005,9,253,1097
FIN,2006,13,266,1085
FIN,2007,16,286,1089
FIN,2008,9,296,1078
FIN,2009,5,303,1068
FIN,2010,11,299,1040
FIN,2011,8,296,993
FIN,2012,9,290,952
FIN,2013,6,284,914
FIN,2014,5,270,860
FIN,2015,6,264,822
FIN,2016,6,268,824
FIN,2017,6,278,826
FIN,2018,6,285,839
FIN,2019,5,291,873
FRA,1990,3053,482,15103
FRA,1991,3967,531,14931
FRA,1992,4563,576,14826
FRA,1993,4924,612,14872
FRA,1994,5250,646,14705
FRA,1995,5077,667,14524
FRA,1996,3884,679,14266
FRA,1997,1702,695,14039
FRA,1998,1356,751,13926
FRA,1999,1297,816,13639
FRA,2000,1274,908,13283
FRA,2001,1225,957,13200
FRA,2002,1223,994,13111
FRA,2003,1151,1041,12971
FRA,2004,1135,1050,12515
FRA,2005,994,1100,12448
FRA,2006,982,1149,12343
FRA,2007,850,1214,12345
FRA,2008,774,1324,12531
FRA,2009,654,1430,12767
FRA,2010,584,1501,12735
FRA,2011,493,1544,12492
FRA,2012,501,1576,12090
FRA,2013,535,1606,11738
FRA,2014,429,1630,11327
FRA,2015,490,1699,11367
FRA,2016,487,1669,10971
FRA,2017,479,1716,11037
FRA,2018,468,1778,11048
FRA,2019,457,1839,11014
G20,1990,60468,48755,597885
G20,1991,74693,54072,608597
G20,1992,90636,58502,621298
G20,1993,111046,62770,637469
G20,1994,135914,67367,656750
G20,1995,161714,70054,657262
G20,1996,176820,71385,647741
G20,1997,188210,71907,649265
G20,1998,225102,74059,656389
G20,1999,278629,75786,664487
G20,2000,331370,77544,660686
G20,2001,384042,74750,642317
G20,2002,434107,71683,631849
G20,2003,477648,68761,634683
G20,2004,515459,67765,638901
G20,2005,538927,70452,644769
G20,2006,544541,70589,632849
G20,2007,533357,70591,620288
G20,2008,511156,71413,614751
G20,2009,476108,71441,604298
G20,2010,440164,72453,602687
G20,2011,405498,73609,594897
G20,2012,368560,75117,584057
G20,2013,343817,78592,571363
G20,2014,328436,83106,558716
G20,2015,321712,88636,550295
G20,2016,323102,95754,548257
G20,2017,311370,100775,546954
G20,2018,291581,104974,556287
G20,2019,280864,109369,557986
GAB,1990,154,4,122
GAB,1991,231,4,125
GAB,1992,335,4,127
GAB,1993,467,4,126
GAB,1994,629,5,130
GAB,1995,815,5,137
GAB,1996,1021,5,139
GAB,1997,1244,5,139
GAB,1998,1474,6,139
GAB,1999,1703,6,135
GAB,2000,1921,6,137
GAB,2001,2096,6,141
GAB,2002,2226,6,140
GAB,2003,2313,6,143
GAB,2004,2272,6,143
GAB,2005,2060,6,143
GAB,2006,1933,6,145
GAB,2007,1975,7,149
GAB,2008,2018,7,152
GAB,2009,1976,7,153
GAB,2010,1908,7,151
GAB,2011,1846,7,153
GAB,2012,1664,8,154
GAB,2013,1421,8,155
GAB,2014,1312,8,157
GAB,2015,1294,9,160
GAB,2016,1249,9,163
GAB,2017,1202,9,167
GAB,2018,1146,10,170
GAB,2019,1115,10,172
GMB,1990,24,1,43
GMB,1991,38,1,45
GMB,1992,60,1,48
GMB,1993,90,1,49
GMB,1994,131,1,50
GMB,1995,185,1,57
GMB,1996,252,1,55
GMB,1997,333,1,58
GMB,1998,426,1,63
GMB,1999,528,1,70
GMB,2000,636,1,68
GMB,2001,746,1,69
GMB,2002,854,1,72
GMB,2003,956,2,77
GMB,2004,1043,2,86
GMB,2005,1093,2,90
GMB,2006,1136,2,90
GMB,2007,1188,2,92
GMB,2008,1212,2,90
GMB,2009,1189,2,93
GMB,2010,1117,2,94
GMB,2011,1030,2,88
GMB,2012,994,2,91
GMB,2013,1047,2,96
GMB,2014,1106,3,106
GMB,2015,1128,3,105
GMB,2016,1122,3,113
GMB,2017,1097,3,122
GMB,2018,1086,3,124
GMB,2019,1078,3,129
GEO,1990,2,20,314
GEO,1991,2,21,317
GEO,1992,2,23,330
GEO,1993,2,21,319
GEO,1994,2,20,319
GEO,1995,2,20,313
GEO,1996,2,18,299
GEO,1997,2,18,318
GEO,1998,3,21,328
GEO,1999,2,23,334
GEO,2000,2,20,311
GEO,2001,2,19,298
GEO,2002,2,19,303
GEO,2003,2,18,287
GEO,2004,2,18,290
GEO,2005,1,18,259
GEO,2006,1,18,249
GEO,2007,3,17,258
GEO,2008,4,17,285
GEO,2009,6,16,306
GEO,2010,8,17,307
GEO,2011,15,18,309
GEO,2012,51,18,312
GEO,2013,30,17,321
GEO,2014,60,18,329
GEO,2015,55,17,332
GEO,2016,34,20,329
GEO,2017,29,22,322
GEO,2018,26,24,317
GEO,2019,23,26,313
DEU,1990,1680,1139,14918
DEU,1991,1990,1338,15128
DEU,1992,2147,1445,14939
DEU,1993,2436,1476,14786
DEU,1994,2507,1493,14716
DEU,1995,2271,1499,14724
DEU,1996,1797,1500,14486
DEU,1997,1019,1459,14105
DEU,1998,763,1441,13526
DEU,1999,741,1470,13149
DEU,2000,702,1516,12844
DEU,2001,660,1487,12541
DEU,2002,644,1435,12435
DEU,2003,623,1410,12360
DEU,2004,611,1354,11950
DEU,2005,595,1341,11625
DEU,2006,599,1324,11322
DEU,2007,563,1345,11160
DEU,2008,561,1372,11156
DEU,2009,548,1375,11257
DEU,2010,552,1371,11343
DEU,2011,567,1355,11284
DEU,2012,521,1355,11254
DEU,2013,513,1390,11413
DEU,2014,493,1422,11379
DEU,2015,511,1505,11658
DEU,2016,467,1561,11613
DEU,2017,451,1586,11614
DEU,2018,436,1630,11637
DEU,2019,421,1678,11664
GHA,1990,2727,17,772
GHA,1991,3746,18,796
GHA,1992,4996,19,824
GHA,1993,6478,20,850
GHA,1994,8168,22,876
GHA,1995,10015,22,904
GHA,1996,11963,24,920
GHA,1997,13939,27,967
GHA,1998,15882,30,996
GHA,1999,17724,34,1033
GHA,2000,19400,38,1068
GHA,2001,20909,36,1156
GHA,2002,22190,34,1231
GHA,2003,23218,32,1307
GHA,2004,23824,29,1388
GHA,2005,24051,28,1442
GHA,2006,23919,27,1483
GHA,2007,23418,26,1515
GHA,2008,22626,29,1565
GHA,2009,21689,31,1627
GHA,2010,20587,33,1691
GHA,2011,19067,36,1751
GHA,2012,17964,39,1790
GHA,2013,17842,41,1832
GHA,2014,17649,44,1882
GHA,2015,17114,46,1923
GHA,2016,16507,50,1992
GHA,2017,15998,54,2043
GHA,2018,15232,55,2042
GHA,2019,14621,58,2065
GRC,1990,37,57,439
GRC,1991,38,73,439
GRC,1992,63,92,436
GRC,1993,66,107,435
GRC,1994,72,142,426
GRC,1995,64,177,423
GRC,1996,59,209,422
GRC,1997,37,241,422
GRC,1998,41,269,430
GRC,1999,33,298,432
GRC,2000,29,335,427
GRC,2001,18,354,418
GRC,2002,27,333,413
GRC,2003,20,325,421
GRC,2004,16,332,428
GRC,2005,12,346,437
GRC,2006,10,346,438
GRC,2007,20,345,449
GRC,2008,9,326,459
GRC,2009,18,320,476
GRC,2010,20,291,484
GRC,2011,22,262,505
GRC,2012,37,238,520
GRC,2013,42,212,516
GRC,2014,50,195,520
GRC,2015,47,194,522
GRC,2016,30,187,517
GRC,2017,26,183,505
GRC,2018,24,185,504
GRC,2019,22,186,500
GRL,1990,2,1,52
GRL,1991,3,1,52
GRL,1992,3,1,52
GRL,1993,3,1,53
GRL,1994,4,1,53
GRL,1995,4,1,53
GRL,1996,4,1,52
GRL,1997,3,1,52
GRL,1998,3,1,51
GRL,1999,3,1,50
GRL,2000,3,1,48
GRL,2001,3,1,48
GRL,2002,3,1,48
GRL,2003,3,2,47
GRL,2004,3,2,46
GRL,2005,3,2,46
GRL,2006,3,2,45
GRL,2007,3,2,45
GRL,2008,3,2,44
GRL,2009,3,2,44
GRL,2010,3,2,44
GRL,2011,3,2,42
GRL,2012,3,2,41
GRL,2013,2,2,40
GRL,2014,2,2,39
GRL,2015,2,2,37
GRL,2016,2,2,37
GRL,2017,2,2,36
GRL,2018,2,2,35
GRL,2019,2,2,34
GRD,1990,7,0,5
GRD,1991,4,0,5
GRD,1992,5,0,5
GRD,1993,6,0,5
GRD,1994,7,0,5
GRD,1995,7,1,4
GRD,1996,8,1,5
GRD,1997,7,1,5
GRD,1998,8,1,5
GRD,1999,8,1,5
GRD,2000,8,1,5
GRD,2001,9,1,5
GRD,2002,9,1,5
GRD,2003,9,1,5
GRD,2004,8,1,5
GRD,2005,7,1,5
GRD,2006,7,1,5
GRD,2007,7,1,5
GRD,2008,6,1,5
GRD,2009,6,1,5
GRD,2010,7,1,5
GRD,2011,6,1,5
GRD,2012,6,1,5
GRD,2013,6,1,5
GRD,2014,7,1,5
GRD,2015,8,1,5
GRD,2016,6,1,5
GRD,2017,6,1,5
GRD,2018,6,1,5
GRD,2019,5,1,5
GUM,1990,1,1,22
GUM,1991,2,1,22
GUM,1992,2,1,22
GUM,1993,3,1,23
GUM,1994,3,0,23
GUM,1995,4,1,24
GUM,1996,4,1,25
GUM,1997,4,1,25
GUM,1998,4,1,25
GUM,1999,5,1,25
GUM,2000,5,1,26
GUM,2001,5,1,25
GUM,2002,5,1,25
GUM,2003,5,1,25
GUM,2004,5,1,24
GUM,2005,5,1,24
GUM,2006,6,1,25
GUM,2007,6,1,25
GUM,2008,6,1,26
GUM,2009,6,1,27
GUM,2010,6,1,28
GUM,2011,6,1,28
GUM,2012,7,1,29
GUM,2013,7,1,30
GUM,2014,7,1,31
GUM,2015,7,1,32
GUM,2016,7,1,33
GUM,2017,7,1,33
GUM,2018,7,1,32
GUM,2019,7,1,32
GTM,1990,248,66,447
GTM,1991,274,72,500
GTM,1992,290,77,541
GTM,1993,314,86,592
GTM,1994,321,89,622
GTM,1995,348,85,608
GTM,1996,351,84,609
GTM,1997,417,87,662
GTM,1998,437,93,732
GTM,1999,511,90,816
GTM,2000,435,77,1023
GTM,2001,485,63,1129
GTM,2002,605,49,1140
GTM,2003,656,41,1168
GTM,2004,729,36,1203
GTM,2005,868,30,1147
GTM,2006,900,33,1150
GTM,2007,845,36,1072
GTM,2008,845,46,1008
GTM,2009,795,65,939
GTM,2010,708,78,918
GTM,2011,699,117,877
GTM,2012,627,142,844
GTM,2013,579,161,820
GTM,2014,637,172,823
GTM,2015,570,188,834
GTM,2016,638,205,860
GTM,2017,652,213,891
GTM,2018,661,211,917
GTM,2019,669,218,953
GIN,1990,251,6,353
GIN,1991,368,6,366
GIN,1992,525,7,380
GIN,1993,724,7,395
GIN,1994,969,7,415
GIN,1995,1267,7,430
GIN,1996,1608,8,446
GIN,1997,1967,8,465
GIN,1998,2354,8,491
GIN,1999,2772,8,509
GIN,2000,3194,8,513
GIN,2001,3590,8,533
GIN,2002,3948,9,552
GIN,2003,4290,9,567
GIN,2004,4608,9,585
GIN,2005,4794,10,599
GIN,2006,4749,10,623
GIN,2007,4763,11,640
GIN,2008,4796,11,651
GIN,2009,4581,11,670
GIN,2010,4333,12,691
GIN,2011,4249,12,707
GIN,2012,4052,13,721
GIN,2013,4021,13,742
GIN,2014,4221,14,769
GIN,2015,4363,15,783
GIN,2016,4449,15,790
GIN,2017,4381,16,794
GIN,2018,4191,17,803
GIN,2019,4037,17,805
GNB,1990,55,2,92
GNB,1991,85,2,93
GNB,1992,126,2,94
GNB,1993,181,2,96
GNB,1994,252,2,98
GNB,1995,340,2,100
GNB,1996,444,2,102
GNB,1997,563,2,104
GNB,1998,693,2,107
GNB,1999,830,2,109
GNB,2000,970,2,112
GNB,2001,1105,2,114
GNB,2002,1234,2,117
GNB,2003,1353,2,121
GNB,2004,1460,2,126
GNB,2005,1549,2,128
GNB,2006,1593,2,131
GNB,2007,1582,2,134
GNB,2008,1526,2,137
GNB,2009,1482,3,140
GNB,2010,1463,3,143
GNB,2011,1407,3,145
GNB,2012,1317,3,147
GNB,2013,1269,3,150
GNB,2014,1255,3,153
GNB,2015,1219,3,155
GNB,2016,1136,3,158
GNB,2017,1083,3,159
GNB,2018,1048,4,161
GNB,2019,1003,4,163
GUY,1990,87,0,193
GUY,1991,61,1,193
GUY,1992,73,1,184
GUY,1993,125,1,192
GUY,1994,153,1,192
GUY,1995,179,1,200
GUY,1996,253,1,220
GUY,1997,195,1,229
GUY,1998,212,1,248
GUY,1999,248,1,251
GUY,2000,302,2,221
GUY,2001,400,1,247
GUY,2002,411,1,253
GUY,2003,362,1,255
GUY,2004,337,1,256
GUY,2005,315,1,247
GUY,2006,285,1,247
GUY,2007,266,1,247
GUY,2008,234,1,243
GUY,2009,212,1,244
GUY,2010,204,1,256
GUY,2011,218,1,258
GUY,2012,227,1,266
GUY,2013,198,1,262
GUY,2014,198,2,268
GUY,2015,193,2,262
GUY,2016,189,2,263
GUY,2017,188,2,267
GUY,2018,185,2,263
GUY,2019,181,2,250
HTI,1990,2922,13,612
HTI,1991,4232,13,594
HTI,1992,5711,13,612
HTI,1993,7260,14,619
HTI,1994,8771,14,621
HTI,1995,10146,15,631
HTI,1996,11329,15,623
HTI,1997,12294,16,643
HTI,1998,13065,16,612
HTI,1999,13637,17,637
HTI,2000,14037,18,650
HTI,2001,14247,19,676
HTI,2002,14294,20,686
HTI,2003,14241,21,709
HTI,2004,14088,22,738
HTI,2005,13614,23,752
HTI,2006,12735,24,765
HTI,2007,11811,25,789
HTI,2008,10993,26,799
HTI,2009,10472,27,810
HTI,2010,10370,27,814
HTI,2011,10128,29,850
HTI,2012,9486,30,869
HTI,2013,8893,32,898
HTI,2014,8477,34,925
HTI,2015,8082,35,952
HTI,2016,7243,37,971
HTI,2017,6279,39,989
HTI,2018,5930,40,1004
HTI,2019,5908,42,1017
HND,1990,78,27,168
HND,1991,94,28,169
HND,1992,110,30,173
HND,1993,125,31,173
HND,1994,139,32,174
HND,1995,153,34,179
HND,1996,167,36,178
HND,1997,179,37,178
HND,1998,191,39,177
HND,1999,202,41,172
HND,2000,213,43,169
HND,2001,224,45,174
HND,2002,235,48,180
HND,2003,228,51,188
HND,2004,150,54,191
HND,2005,96,56,196
HND,2006,82,58,199
HND,2007,79,60,203
HND,2008,77,62,204
HND,2009,79,64,204
HND,2010,79,67,205
HND,2011,80,70,205
HND,2012,81,74,202
HND,2013,82,78,207
HND,2014,82,82,212
HND,2015,82,86,218
HND,2016,83,90,223
HND,2017,85,95,229
HND,2018,89,99,235
HND,2019,91,104,241
HUN,1990,165,21,4240
HUN,1991,207,22,4091
HUN,1992,217,23,4157
HUN,1993,275,25,4044
HUN,1994,239,27,3865
HUN,1995,242,29,3690
HUN,1996,208,36,3429
HUN,1997,192,40,3320
HUN,1998,176,46,3343
HUN,1999,175,48,3301
HUN,2000,157,50,3072
HUN,2001,131,50,2902
HUN,2002,122,49,2847
HUN,2003,107,50,2804
HUN,2004,111,50,2722
HUN,2005,94,51,2719
HUN,2006,85,52,2627
HUN,2007,84,52,2623
HUN,2008,60,51,2524
HUN,2009,73,51,2517
HUN,2010,67,49,2442
HUN,2011,65,46,2369
HUN,2012,59,47,2314
HUN,2013,34,46,2179
HUN,2014,48,48,2132
HUN,2015,34,49,2122
HUN,2016,32,51,2001
HUN,2017,38,57,1956
HUN,2018,38,60,1956
HUN,2019,37,63,1902
ISL,1990,2,6,39
ISL,1991,2,6,39
ISL,1992,3,6,38
ISL,1993,3,6,38
ISL,1994,4,6,38
ISL,1995,4,6,38
ISL,1996,3,7,38
ISL,1997,2,7,37
ISL,1998,2,7,37
ISL,1999,2,7,37
ISL,2000,2,8,37
ISL,2001,1,8,36
ISL,2002,1,8,35
ISL,2003,1,8,35
ISL,2004,1,8,35
ISL,2005,1,8,35
ISL,2006,1,9,36
ISL,2007,1,9,36
ISL,2008,1,9,37
ISL,2009,1,10,37
ISL,2010,1,10,37
ISL,2011,1,10,37
ISL,2012,1,10,37
ISL,2013,1,10,37
ISL,2014,1,11,36
ISL,2015,1,11,37
ISL,2016,1,12,37
ISL,2017,1,13,37
ISL,2018,1,15,37
ISL,2019,1,14,37
IND,1990,1138,3466,154133
IND,1991,1707,3559,159309
IND,1992,3045,3614,163032
IND,1993,5703,3749,164001
IND,1994,10143,3920,165973
IND,1995,16865,4004,166439
IND,1996,26565,4214,170096
IND,1997,39446,4606,181356
IND,1998,56161,4826,188455
IND,1999,75568,5013,195957
IND,2000,95403,5124,198344
IND,2001,114384,5279,196731
IND,2002,131675,5434,193855
IND,2003,144856,5527,187799
IND,2004,158574,5692,188096
IND,2005,164997,6348,193890
IND,2006,167727,6112,197521
IND,2007,163270,6092,195456
IND,2008,155231,6120,194152
IND,2009,142325,6216,190547
IND,2010,127159,6233,194573
IND,2011,113454,6219,198645
IND,2012,101377,6023,198142
IND,2013,91805,6495,192867
IND,2014,79395,6625,183993
IND,2015,66792,6986,180206
IND,2016,57316,7306,180170
IND,2017,49562,7578,182499
IND,2018,46433,8083,191822
IND,2019,46298,8465,195336
IDN,1990,12,257,6520
IDN,1991,74,268,6623
IDN,1992,150,280,6749
IDN,1993,231,293,6869
IDN,1994,333,306,6964
IDN,1995,448,318,7055
IDN,1996,574,330,7154
IDN,1997,709,344,7283
IDN,1998,851,357,7436
IDN,1999,999,371,7566
IDN,2000,1155,387,7676
IDN,2001,1322,403,7714
IDN,2002,1514,423,7792
IDN,2003,1748,443,7830
IDN,2004,2029,463,7859
IDN,2005,2355,475,7844
IDN,2006,2686,478,7788
IDN,2007,2791,467,7725
IDN,2008,2882,474,7704
IDN,2009,3095,479,7691
IDN,2010,3499,486,7626
IDN,2011,4032,502,7631
IDN,2012,4512,516,7523
IDN,2013,4852,517,7474
IDN,2014,5164,524,7399
IDN,2015,5316,542,7410
IDN,2016,5340,549,7454
IDN,2017,5290,563,7538
IDN,2018,5415,576,7589
IDN,2019,5603,589,7658
IRN,1990,38,1040,3640
IRN,1991,44,1083,3672
IRN,1992,50,1128,3708
IRN,1993,57,1204,3783
IRN,1994,64,1282,3902
IRN,1995,72,1380,4008
IRN,1996,81,1509,4109
IRN,1997,93,1641,4223
IRN,1998,108,1796,4338
IRN,1999,129,1945,4436
IRN,2000,155,2160,4545
IRN,2001,185,2388,4666
IRN,2002,222,2594,4730
IRN,2003,264,2825,4778
IRN,2004,313,3105,4800
IRN,2005,357,3296,4765
IRN,2006,397,3467,4726
IRN,2007,436,3664,4772
IRN,2008,472,3754,4775
IRN,2009,509,3713,4753
IRN,2010,566,3689,4816
IRN,2011,646,3551,4802
IRN,2012,718,3377,4783
IRN,2013,779,3135,4771
IRN,2014,835,3022,4729
IRN,2015,887,2904,4676
IRN,2016,945,2855,4656
IRN,2017,1011,2858,4617
IRN,2018,1085,2888,4474
IRN,2019,1177,2918,4172
IRQ,1990,6,122,766
IRQ,1991,8,141,854
IRQ,1992,9,163,941
IRQ,1993,11,183,1005
IRQ,1994,13,203,1070
IRQ,1995,15,226,1128
IRQ,1996,17,250,1174
IRQ,1997,20,275,1204
IRQ,1998,23,299,1213
IRQ,1999,27,324,1220
IRQ,2000,31,346,1248
IRQ,2001,35,364,1288
IRQ,2002,40,380,1327
IRQ,2003,45,395,1375
IRQ,2004,49,404,1391
IRQ,2005,52,406,1376
IRQ,2006,56,411,1371
IRQ,2007,58,424,1392
IRQ,2008,62,436,1403
IRQ,2009,64,450,1515
IRQ,2010,68,470,1626
IRQ,2011,76,493,1735
IRQ,2012,81,510,1841
IRQ,2013,84,525,1961
IRQ,2014,85,539,1987
IRQ,2015,84,545,2015
IRQ,2016,83,552,2032
IRQ,2017,83,564,2064
IRQ,2018,84,581,2093
IRQ,2019,82,585,2075
IRL,1990,12,20,370
IRL,1991,19,24,386
IRL,1992,32,30,394
IRL,1993,39,38,403
IRL,1994,35,46,420
IRL,1995,54,60,446
IRL,1996,37,73,469
IRL,1997,18,87,498
IRL,1998,16,98,516
IRL,1999,23,111,523
IRL,2000,5,119,539
IRL,2001,12,122,541
IRL,2002,11,127,535
IRL,2003,17,128,521
IRL,2004,13,137,529
IRL,2005,8,153,533
IRL,2006,4,166,538
IRL,2007,15,175,545
IRL,2008,18,187,565
IRL,2009,16,198,593
IRL,2010,13,189,557
IRL,2011,13,196,565
IRL,2012,12,188,540
IRL,2013,12,186,510
IRL,2014,9,181,490
IRL,2015,10,180,464
IRL,2016,10,180,446
IRL,2017,9,185,441
IRL,2018,9,194,441
IRL,2019,9,200,435
ISR,1990,39,51,373
ISR,1991,48,49,409
ISR,1992,49,47,442
ISR,1993,66,43,447
ISR,1994,38,38,477
ISR,1995,60,36,512
ISR,1996,31,38,547
ISR,1997,38,42,581
ISR,1998,38,50,566
ISR,1999,32,58,549
ISR,2000,31,75,559
ISR,2001,35,81,568
ISR,2002,29,85,557
ISR,2003,33,80,546
ISR,2004,30,75,534
ISR,2005,33,66,543
ISR,2006,32,60,532
ISR,2007,50,58,534
ISR,2008,36,54,535
ISR,2009,38,50,539
ISR,2010,31,47,543
ISR,2011,41,45,531
ISR,2012,45,43,521
ISR,2013,46,46,514
ISR,2014,38,46,509
ISR,2015,46,49,512
ISR,2016,40,51,516
ISR,2017,38,55,522
ISR,2018,38,59,533
ISR,2019,37,63,545
ITA,1990,1863,922,5166
ITA,1991,2562,1038,5205
ITA,1992,3189,1075,5154
ITA,1993,3860,1054,5089
ITA,1994,4429,1069,5076
ITA,1995,4720,1109,5103
ITA,1996,4346,1112,5140
ITA,1997,2522,1079,5197
ITA,1998,1438,1040,5212
ITA,1999,1152,961,5090
ITA,2000,1017,896,4992
ITA,2001,985,813,4888
ITA,2002,978,731,4770
ITA,2003,1333,670,4656
ITA,2004,1158,638,4488
ITA,2005,1105,615,4414
ITA,2006,987,593,4393
ITA,2007,1027,573,4402
ITA,2008,964,544,4442
ITA,2009,885,517,4465
ITA,2010,835,493,4458
ITA,2011,804,482,4501
ITA,2012,845,484,4517
ITA,2013,749,479,4479
ITA,2014,671,474,4390
ITA,2015,667,483,4409
ITA,2016,677,482,4275
ITA,2017,661,506,4230
ITA,2018,641,537,4269
ITA,2019,621,563,4315
JAM,1990,182,2,34
JAM,1991,203,2,34
JAM,1992,229,3,37
JAM,1993,259,3,39
JAM,1994,293,3,42
JAM,1995,331,3,47
JAM,1996,376,4,52
JAM,1997,426,4,56
JAM,1998,485,5,60
JAM,1999,558,5,65
JAM,2000,700,6,65
JAM,2001,741,5,64
JAM,2002,676,5,63
JAM,2003,594,4,60
JAM,2004,633,4,56
JAM,2005,362,4,53
JAM,2006,504,4,55
JAM,2007,499,4,64
JAM,2008,493,5,80
JAM,2009,428,5,83
JAM,2010,618,4,70
