code,year,d_drowning,d_interpersonal_violence,d_exposure_to_forces_of_nature,d_road_injuries,d_poisonings,d_fire_heat_and_hot_substances
AFG,1990,1370,1538,0,4154,338,323
AFG,1991,1391,2001,1347,4472,351,332
AFG,1992,1514,2299,614,5106,386,360
AFG,1993,1687,2589,225,5681,425,396
AFG,1994,1809,2849,160,6001,451,420
AFG,1995,1881,2969,381,6211,467,434
AFG,1996,1969,3331,70,6446,485,450
AFG,1997,2078,3028,175,6677,504,469
AFG,1998,2098,3098,7123,6683,505,472
AFG,1999,2084,2917,70,6603,502,470
AFG,2000,2048,2871,0,6581,499,465
AFG,2001,2044,2971,4,6720,502,467
AFG,2002,1980,3277,1286,6696,490,455
AFG,2003,2282,3458,137,7243,531,499
AFG,2004,2386,3479,18,7522,547,516
AFG,2005,2315,3506,561,7577,540,507
AFG,2006,2235,3609,382,7484,527,496
AFG,2007,2127,3657,296,7425,512,481
AFG,2008,1973,3785,1317,7355,495,462
AFG,2009,1852,3874,101,7290,483,448
AFG,2010,1837,4130,350,7379,484,451
AFG,2011,1775,4170,83,7432,483,448
AFG,2012,1716,4245,333,7494,482,445
AFG,2013,1777,4379,155,8054,494,460
AFG,2014,1757,4420,575,8087,496,463
AFG,2015,1730,5039,446,7730,496,463
AFG,2016,1742,5033,84,7866,504,471
AFG,2017,1723,5191,226,8013,512,476
AFG,2018,1669,5500,123,8095,514,475
AFG,2019,1687,5015,128,8254,525,485
WHO,1990,27182,50714,290,130403,17453,19552
WHO,1991,27357,52671,574,132658,17461,19696
WHO,1992,27469,56013,30,136413,17712,20040
WHO,1993,27435,59415,115,136847,17734,20066
WHO,1994,27428,58643,892,139782,17835,20307
WHO,1995,27334,59011,324,142066,17862,20343
WHO,1996,27045,60209,296,143610,17815,20342
WHO,1997,27287,61570,853,148113,18037,20682
WHO,1998,27224,64521,275,151827,18097,21022
WHO,1999,27200,66899,706,154153,18195,21093
WHO,2000,27216,69723,1433,157798,18383,21459
WHO,2001,27093,69003,1628,158898,18288,21558
WHO,2002,27244,71584,703,161684,18473,21775
WHO,2003,27422,70893,2806,164941,18612,21991
WHO,2004,27387,71582,635,167244,18747,22274
WHO,2005,27583,70507,487,168488,18871,22463
WHO,2006,27887,71134,1376,170604,19086,22817
WHO,2007,27732,70464,851,171057,19117,22983
WHO,2008,27146,70859,698,171025,18993,22859
WHO,2009,26969,70542,656,171249,18954,22863
WHO,2010,26638,71445,1191,171282,19084,22849
WHO,2011,26284,72653,792,171257,18866,22821
WHO,2012,26188,72562,964,172395,18964,22956
WHO,2013,25939,73762,707,173218,19026,23166
WHO,2014,25925,76260,481,175064,19096,23365
WHO,2015,25661,75765,1113,177278,19054,23658
WHO,2016,25516,77100,977,177824,19089,23658
WHO,2017,24882,79592,2565,179171,18993,23607
WHO,2018,24363,82156,949,180937,18910,23652
WHO,2019,23768,79735,1642,182243,18792,23657
ALB,1990,147,177,0,395,13,31
ALB,1991,160,207,0,421,16,34
ALB,1992,154,232,11,400,17,35
ALB,1993,148,258,0,366,20,33
ALB,1994,144,286,1,318,22,30
ALB,1995,142,327,4,297,24,28
ALB,1996,138,369,1,283,24,26
ALB,1997,127,447,1,288,25,25
ALB,1998,126,480,0,297,27,24
ALB,1999,112,404,1,274,26,22
ALB,2000,91,309,0,259,24,21
ALB,2001,80,250,0,257,23,19
ALB,2002,76,204,7,268,22,19
ALB,2003,70,164,0,287,20,19
ALB,2004,64,128,1,290,18,18
ALB,2005,53,92,5,276,14,17
ALB,2006,45,77,0,260,12,16
ALB,2007,44,76,0,258,12,16
ALB,2008,42,71,0,261,12,16
ALB,2009,40,62,0,249,11,15
ALB,2010,41,66,2,252,12,16
ALB,2011,38,65,0,255,12,16
ALB,2012,40,64,0,252,12,16
ALB,2013,40,63,0,251,12,17
ALB,2014,42,63,0,254,12,17
ALB,2015,41,63,1,258,12,18
ALB,2016,41,62,2,255,12,18
ALB,2017,38,60,1,251,12,18
ALB,2018,37,59,0,247,11,18
ALB,2019,36,57,51,243,11,18
DZA,1990,1207,491,0,13438,485,1113
DZA,1991,1136,484,0,13120,469,1078
DZA,1992,1111,497,21,13115,464,1071
DZA,1993,1092,513,37,13154,461,1067
DZA,1994,1086,553,211,13326,460,1095
DZA,1995,1061,600,0,13374,456,1066
DZA,1996,1035,559,4,13410,452,1057
DZA,1997,1042,831,4,13558,455,1066
DZA,1998,1016,736,0,13525,451,1054
DZA,1999,1001,616,34,13631,452,1056
DZA,2000,963,621,48,13538,449,1032
DZA,2001,921,627,921,13410,446,999
DZA,2002,873,628,48,13224,439,987
DZA,2003,815,622,2329,12701,422,920
DZA,2004,783,585,22,12535,417,898
DZA,2005,748,567,22,12320,408,874
DZA,2006,719,554,5,12077,399,855
DZA,2007,686,535,82,11847,391,842
DZA,2008,660,536,93,11643,383,818
DZA,2009,636,535,48,11450,375,804
DZA,2010,614,530,0,11270,370,793
DZA,2011,602,527,10,11231,367,791
DZA,2012,588,521,69,11152,364,787
DZA,2013,582,539,0,11158,365,788
DZA,2014,582,509,6,11176,365,793
DZA,2015,571,499,12,11131,363,808
DZA,2016,550,486,0,10932,355,779
DZA,2017,533,474,0,10868,350,773
DZA,2018,534,468,6,11030,353,782
DZA,2019,526,459,0,11051,351,782
ASM,1990,4,3,0,5,0,0
ASM,1991,4,3,0,6,0,0
ASM,1992,4,3,0,6,0,0
ASM,1993,4,4,0,6,0,0
ASM,1994,4,4,0,6,0,0
ASM,1995,4,4,0,6,0,0
ASM,1996,4,4,0,6,0,0
ASM,1997,4,4,0,6,0,0
ASM,1998,4,4,0,6,0,0
ASM,1999,4,4,0,6,0,0
ASM,2000,4,4,0,6,0,0
ASM,2001,4,4,0,6,0,0
ASM,2002,4,4,0,6,0,0
ASM,2003,4,4,6,6,0,0
ASM,2004,4,3,0,6,0,0
ASM,2005,4,3,0,5,0,0
ASM,2006,4,3,0,5,0,0
ASM,2007,4,3,0,5,0,0
ASM,2008,4,3,0,5,0,0
ASM,2009,4,3,34,5,0,0
ASM,2010,4,3,0,5,0,0
ASM,2011,4,3,0,5,0,0
ASM,2012,4,3,0,5,0,0
ASM,2013,4,3,1,5,0,0
ASM,2014,4,3,0,5,0,0
ASM,2015,4,3,0,5,0,0
ASM,2016,4,3,0,5,0,0
ASM,2017,4,3,0,5,0,0
ASM,2018,4,3,0,5,0,0
ASM,2019,4,3,0,5,0,0
AND,1990,0,1,0,8,0,0
AND,1991,0,1,0,9,0,0
AND,1992,0,1,0,9,0,0
AND,1993,0,1,0,10,0,0
AND,1994,0,1,0,9,0,0
AND,1995,0,1,0,9,0,0
AND,1996,0,1,0,9,0,0
AND,1997,0,1,0,9,0,0
AND,1998,0,1,0,9,0,0
AND,1999,0,0,0,9,0,0
AND,2000,0,0,0,8,0,0
AND,2001,0,0,0,8,0,0
AND,2002,0,0,0,8,0,0
AND,2003,0,0,0,9,0,0
AND,2004,0,1,0,9,0,0
AND,2005,0,1,0,9,0,0
AND,2006,0,1,0,9,0,0
AND,2007,0,1,0,10,0,0
AND,2008,0,1,0,9,0,0
AND,2009,0,1,0,9,0,0
AND,2010,0,0,0,9,0,0
AND,2011,0,0,0,8,0,0
AND,2012,0,0,0,8,0,0
AND,2013,0,0,0,8,0,0
AND,2014,0,0,0,8,0,0
AND,2015,0,0,0,8,0,0
AND,2016,0,0,0,8,0,0
AND,2017,0,0,0,8,0,0
AND,2018,0,0,0,8,0,0
AND,2019,0,0,0,8,0,0
AGO,1990,1093,458,0,5062,389,431
AGO,1991,1117,465,0,5216,397,439
AGO,1992,1135,481,0,5433,408,452
AGO,1993,1180,506,0,5753,424,468
AGO,1994,1214,531,0,6061,439,483
AGO,1995,1226,534,0,6210,445,490
AGO,1996,1202,505,0,6157,441,488
AGO,1997,1220,505,0,6372,446,495
AGO,1998,1265,549,0,7004,466,518
AGO,1999,1298,572,0,7612,481,533
AGO,2000,1302,582,59,7978,488,542
AGO,2001,1302,597,57,8158,492,546
AGO,2002,1291,605,8,8265,491,545
AGO,2003,1285,626,15,8539,499,551
AGO,2004,1355,659,28,9112,525,641
AGO,2005,1331,672,0,9106,521,575
AGO,2006,1300,698,0,9212,521,572
AGO,2007,1280,729,105,9294,524,571
AGO,2008,1242,760,7,9360,515,567
AGO,2009,1188,791,62,9360,505,556
AGO,2010,1170,824,25,9512,506,559
AGO,2011,1114,844,130,9523,497,550
AGO,2012,1076,865,0,9524,489,545
AGO,2013,1010,884,9,9284,477,534
AGO,2014,949,892,0,9036,458,518
AGO,2015,915,905,75,9012,448,517
AGO,2016,862,901,113,8807,435,506
AGO,2017,825,932,11,9021,432,503
AGO,2018,797,949,8,9114,430,504
AGO,2019,793,974,30,9253,433,513
ATG,1990,4,2,0,6,1,2
ATG,1991,4,2,0,6,1,2
ATG,1992,4,3,0,6,1,2
ATG,1993,4,3,0,7,1,2
ATG,1994,4,3,0,7,1,2
ATG,1995,4,4,2,7,1,2
ATG,1996,4,3,0,7,1,2
ATG,1997,4,3,32,7,1,2
ATG,1998,4,3,2,7,0,2
ATG,1999,4,3,2,7,0,2
ATG,2000,4,3,0,7,0,2
ATG,2001,4,5,0,7,0,2
ATG,2002,4,4,0,7,0,2
ATG,2003,4,4,0,6,0,2
ATG,2004,4,4,0,6,0,2
ATG,2005,4,5,0,6,0,2
ATG,2006,4,4,0,6,0,2
ATG,2007,4,5,0,5,0,2
ATG,2008,4,4,0,5,0,2
ATG,2009,4,6,0,5,0,2
ATG,2010,4,5,0,5,0,2
ATG,2011,4,5,0,5,0,2
ATG,2012,4,5,0,6,0,2
ATG,2013,4,5,0,6,0,2
ATG,2014,4,4,0,6,0,2
ATG,2015,4,4,0,6,0,2
ATG,2016,4,4,0,6,0,2
ATG,2017,4,4,1,6,0,2
ATG,2018,4,5,0,7,0,2
ATG,2019,4,5,0,7,0,2
ARG,1990,1128,2024,21,4361,308,627
ARG,1991,1120,2007,0,4502,305,645
ARG,1992,1108,2105,45,4679,300,667
ARG,1993,1070,2123,15,4843,293,678
ARG,1994,1047,2226,0,4989,287,682
ARG,1995,1015,2173,6,5082,286,699
ARG,1996,1022,2276,0,5241,287,727
ARG,1997,1006,2179,19,5383,287,744
ARG,1998,998,2055,23,5537,277,747
ARG,1999,973,2169,11,5556,280,754
ARG,2000,920,2544,19,5439,278,717
ARG,2001,915,2581,33,5486,274,714
ARG,2002,893,2691,21,5504,286,715
ARG,2003,836,2430,32,5531,288,711
ARG,2004,766,2061,7,5506,294,694
ARG,2005,737,1957,14,5622,305,731
ARG,2006,718,2242,3,5801,291,705
ARG,2007,718,1894,14,6094,306,734
ARG,2008,695,2340,11,6202,296,718
ARG,2009,668,2399,22,6281,296,716
ARG,2010,652,2452,7,6349,294,717
ARG,2011,636,2535,2,6449,295,715
ARG,2012,625,2743,4,6551,294,703
ARG,2013,607,2847,58,6639,294,694
ARG,2014,583,2959,8,6514,283,673
ARG,2015,563,2905,17,6394,274,661
ARG,2016,572,2917,10,6406,275,678
ARG,2017,573,2900,1,6431,276,681
ARG,2018,570,2891,2,6391,273,672
ARG,2019,566,2881,0,6318,272,672
ARM,1990,320,179,0,551,83,230
ARM,1991,312,230,0,556,82,221
ARM,1992,353,206,0,582,92,232
ARM,1993,400,316,0,545,97,236
ARM,1994,426,258,0,496,94,225
ARM,1995,328,247,0,439,74,180
ARM,1996,274,211,0,420,62,151
ARM,1997,244,172,4,395,53,130
ARM,1998,214,177,0,371,46,112
ARM,1999,184,172,0,345,40,95
ARM,2000,162,143,0,335,35,85
ARM,2001,146,125,0,332,34,85
ARM,2002,129,125,0,319,32,77
ARM,2003,112,111,0,311,30,74
ARM,2004,95,134,1,290,27,66
ARM,2005,83,150,0,283,25,60
ARM,2006,70,161,1,274,24,54
ARM,2007,64,194,0,267,23,53
ARM,2008,60,160,1,264,20,51
ARM,2009,58,154,1,260,19,49
ARM,2010,57,154,1,257,20,48
ARM,2011,54,151,1,263,20,48
ARM,2012,53,193,2,267,20,50
ARM,2013,49,174,1,259,19,49
ARM,2014,47,171,0,260,19,48
ARM,2015,47,162,0,274,19,49
ARM,2016,45,159,0,262,19,48
ARM,2017,45,154,0,251,18,47
ARM,2018,44,154,0,245,18,46
ARM,2019,44,153,0,240,18,45
AUS,1990,295,380,16,2739,47,147
AUS,1991,282,360,14,2543,47,175
AUS,1992,281,330,10,2420,45,149
AUS,1993,271,337,3,2296,46,145
AUS,1994,269,344,1,2255,47,178
AUS,1995,263,327,5,2220,50,147
AUS,1996,262,337,23,2182,51,164
AUS,1997,263,333,40,2137,50,142
AUS,1998,258,344,7,2121,53,138
AUS,1999,255,337,12,2092,54,136
AUS,2000,243,340,3,2050,55,143
AUS,2001,233,338,4,1973,49,122
AUS,2002,225,324,1,1930,50,160
AUS,2003,216,304,3,1890,54,144
AUS,2004,210,250,3,1828,51,121
AUS,2005,205,254,4,1784,49,127
AUS,2006,202,308,4,1755,48,113
AUS,2007,204,300,5,1752,48,114
AUS,2008,206,327,5,1739,49,115
AUS,2009,207,339,6,1711,48,266
AUS,2010,206,326,5,1665,47,108
AUS,2011,197,311,34,1617,46,126
AUS,2012,193,318,8,1568,44,104
AUS,2013,195,304,4,1515,41,102
AUS,2014,196,312,5,1523,41,102
AUS,2015,198,318,9,1549,41,103
AUS,2016,196,300,9,1545,40,102
AUS,2017,195,315,12,1558,41,104
AUS,2018,196,320,0,1584,42,107
AUS,2019,196,322,4,1595,43,109
AUT,1990,116,112,3,1423,36,62
AUT,1991,116,101,10,1388,35,63
AUT,1992,115,112,0,1323,31,62
AUT,1993,114,103,0,1293,30,62
AUT,1994,112,94,2,1237,28,61
AUT,1995,105,86,7,1148,26,60
AUT,1996,98,85,0,1065,25,59
AUT,1997,94,72,3,1012,23,59
AUT,1998,88,83,0,955,21,56
AUT,1999,86,70,53,939,18,55
AUT,2000,86,70,14,912,20,54
AUT,2001,83,73,0,872,20,53
AUT,2002,83,73,18,844,22,52
AUT,2003,83,57,21,825,22,51
AUT,2004,79,68,5,788,22,51
AUT,2005,78,73,27,751,24,50
AUT,2006,74,76,17,709,27,47
AUT,2007,72,70,9,679,28,47
AUT,2008,68,67,17,647,28,71
AUT,2009,68,73,15,628,29,46
AUT,2010,65,69,24,599,30,45
AUT,2011,63,71,1,567,30,44
AUT,2012,62,68,13,543,30,44
AUT,2013,60,66,22,511,29,43
AUT,2014,57,71,6,497,30,43
AUT,2015,58,79,18,495,31,44
AUT,2016,57,77,9,484,33,43
AUT,2017,55,74,11,477,32,42
AUT,2018,55,71,0,485,31,42
AUT,2019,56,70,11,491,31,42
AZE,1990,599,759,0,1108,118,525
AZE,1991,645,1090,0,1163,130,554
AZE,1992,773,1672,0,1356,156,613
AZE,1993,801,1998,141,1334,163,633
AZE,1994,803,2038,0,1276,165,659
AZE,1995,668,1538,5,1016,143,593
AZE,1996,584,1161,0,858,128,558
AZE,1997,547,935,11,775,118,538
AZE,1998,517,762,1,722,110,522
AZE,1999,477,619,1,688,102,503
AZE,2000,430,506,42,678,93,486
AZE,2001,370,441,1,660,83,472
AZE,2002,365,396,1,656,79,458
AZE,2003,358,371,1,672,77,455
AZE,2004,359,358,1,680,76,451
AZE,2005,368,350,0,710,81,455
AZE,2006,353,330,0,704,81,440
AZE,2007,345,304,0,697,82,425
AZE,2008,344,316,0,717,83,428
AZE,2009,341,325,0,725,83,429
AZE,2010,345,340,3,740,84,435
AZE,2011,336,343,0,750,85,432
AZE,2012,327,353,0,745,85,429
AZE,2013,331,360,0,751,85,429
AZE,2014,329,365,0,748,84,426
AZE,2015,317,364,0,776,83,434
AZE,2016,311,361,0,766,82,413
AZE,2017,311,364,0,775,83,413
AZE,2018,313,370,0,791,84,438
AZE,2019,312,372,0,803,85,413
BHS,1990,22,45,0,57,2,10
BHS,1991,23,38,0,59,2,10
BHS,1992,23,44,4,60,2,11
BHS,1993,24,48,0,60,2,11
BHS,1994,23,57,0,62,2,11
BHS,1995,24,54,0,63,2,11
BHS,1996,23,54,0,65,1,11
BHS,1997,23,57,0,67,1,11
BHS,1998,23,57,0,68,1,11
BHS,1999,23,59,2,69,1,11
BHS,2000,23,63,0,71,1,10
BHS,2001,23,54,0,74,1,10
BHS,2002,23,55,1,77,1,10
BHS,2003,24,62,0,44,1,10
BHS,2004,24,60,12,47,1,9
BHS,2005,23,76,1,48,1,9
BHS,2006,24,78,0,50,1,9
BHS,2007,24,87,0,50,1,9
BHS,2008,24,95,0,51,1,9
BHS,2009,24,102,0,54,1,9
BHS,2010,24,109,3,54,1,9
BHS,2011,24,124,0,55,1,9
BHS,2012,25,128,1,55,1,9
BHS,2013,25,130,0,55,1,9
BHS,2014,25,123,0,56,1,9
BHS,2015,25,121,33,56,1,10
BHS,2016,25,117,0,56,1,10
BHS,2017,25,116,0,56,1,10
BHS,2018,25,113,0,56,1,10
BHS,2019,24,111,50,56,1,10
BHR,1990,12,10,0,110,2,7
BHR,1991,13,11,0,116,2,8
BHR,1992,13,11,0,118,2,8
BHR,1993,13,12,0,121,2,8
BHR,1994,13,13,0,125,2,9
BHR,1995,14,13,0,129,1,9
BHR,1996,14,13,0,133,1,9
BHR,1997,15,14,0,138,1,10
BHR,1998,15,16,0,142,1,10
BHR,1999,15,17,0,146,2,10
BHR,2000,13,18,0,155,2,10
BHR,2001,12,19,0,149,2,10
BHR,2002,11,20,0,145,2,10
BHR,2003,11,21,0,149,2,10
BHR,2004,11,24,0,157,2,11
BHR,2005,11,27,0,164,2,11
BHR,2006,12,29,0,165,2,12
BHR,2007,12,30,0,166,2,12
BHR,2008,12,33,0,171,2,13
BHR,2009,12,35,0,171,2,13
BHR,2010,12,35,0,168,2,13
BHR,2011,12,34,0,167,2,14
BHR,2012,13,33,0,170,3,24
BHR,2013,14,32,0,176,3,28
BHR,2014,14,32,0,179,2,16
BHR,2015,14,31,0,181,2,16
BHR,2016,13,30,0,177,2,15
BHR,2017,13,29,0,177,2,15
BHR,2018,13,28,0,176,2,15
BHR,2019,12,27,0,177,2,15
BGD,1990,34714,3605,905,7884,633,2061
BGD,1991,34574,3746,139252,7486,600,2049
BGD,1992,34519,3920,40,7672,592,2097
BGD,1993,34621,4087,646,7685,575,2110
BGD,1994,34621,4168,321,7782,564,2116
BGD,1995,35294,4239,1494,8065,556,2102
BGD,1996,35723,4225,681,8124,589,2035
BGD,1997,35376,4092,527,8046,517,1940
BGD,1998,34515,3899,1371,7932,493,1832
BGD,1999,33212,3708,330,7841,471,1737
BGD,2000,32521,3665,142,8246,471,1685
BGD,2001,30871,3516,247,8294,458,1592
BGD,2002,28829,3322,132,8271,448,1525
BGD,2003,26600,3208,314,8210,438,1467
BGD,2004,24762,3199,1002,8170,434,1427
BGD,2005,23533,3259,232,8475,446,1414
BGD,2006,22220,3389,154,8634,459,1408
BGD,2007,22024,3391,5505,8927,479,1405
BGD,2008,20626,3394,68,8984,484,1369
BGD,2009,19115,3521,213,9143,497,1360
BGD,2010,17169,3576,107,9183,506,1469
BGD,2011,15392,3678,40,8715,494,1269
BGD,2012,13666,3632,272,8393,500,1227
BGD,2013,12246,3841,50,8371,490,1219
BGD,2014,11053,4025,79,8581,504,1228
BGD,2015,10182,4087,159,8469,518,1233
BGD,2016,9401,4052,198,8428,533,1249
BGD,2017,8735,4021,323,8632,546,1275
BGD,2018,8107,3982,68,8639,555,1287
BGD,2019,7582,3954,131,8612,561,1407
BRB,1990,14,25,0,35,2,6
BRB,1991,14,25,0,35,2,6
BRB,1992,13,26,0,35,2,6
BRB,1993,14,29,0,36,2,6
BRB,1994,14,29,0,36,2,6
BRB,1995,14,29,0,37,1,6
BRB,1996,14,28,0,37,1,6
BRB,1997,14,27,0,37,1,6
BRB,1998,13,22,0,36,1,5
BRB,1999,13,24,0,36,1,5
BRB,2000,12,28,0,34,1,5
BRB,2001,11,27,0,31,1,5
BRB,2002,11,28,0,31,1,5
BRB,2003,12,31,1,32,1,5
BRB,2004,11,34,1,31,0,5
BRB,2005,11,35,0,30,0,5
BRB,2006,11,36,0,29,0,4
BRB,2007,11,33,0,28,0,4
BRB,2008,10,35,0,27,0,4
BRB,2009,11,29,0,27,0,4
BRB,2010,11,31,0,27,0,4
BRB,2011,10,34,0,29,0,4
BRB,2012,10,32,0,28,0,4
BRB,2013,10,33,0,29,0,4
BRB,2014,10,31,0,29,0,4
BRB,2015,10,32,0,29,0,4
BRB,2016,10,32,0,30,0,4
BRB,2017,10,32,1,30,0,4
BRB,2018,10,32,0,30,0,5
BRB,2019,10,33,0,31,0,5
BLR,1990,1275,773,0,2506,471,522
BLR,1991,1377,784,0,2649,508,564
BLR,1992,1465,971,0,2702,560,628
BLR,1993,1571,1167,0,2774,648,715
BLR,1994,1688,1213,0,2684,683,762
BLR,1995,1767,1377,0,2725,734,846
BLR,1996,1735,1238,0,2623,745,877
BLR,1997,1774,1403,5,2560,776,949
BLR,1998,1872,1461,0,2597,824,1024
BLR,1999,1982,1430,2,2590,855,1094
BLR,2000,1739,1422,0,2369,809,1038
BLR,2001,1778,1417,0,2410,846,1066
BLR,2002,1641,1598,4,2471,858,1016
BLR,2003,1451,1424,3,2377,801,994
BLR,2004,1390,1362,0,2292,738,923
BLR,2005,1380,1349,0,2300,707,930
BLR,2006,1265,1259,0,2151,626,874
BLR,2007,1136,1112,3,1971,543,808
BLR,2008,1072,1298,5,1882,465,789
BLR,2009,1035,1227,5,1763,451,788
BLR,2010,1065,1015,4,1695,469,804
BLR,2011,991,1204,6,1651,444,845
BLR,2012,813,901,0,1372,391,761
BLR,2013,739,789,3,1254,379,778
BLR,2014,705,731,3,1162,366,782
BLR,2015,655,779,0,1082,348,722
BLR,2016,630,747,0,1044,342,702
BLR,2017,631,753,0,1039,344,697
BLR,2018,641,767,0,1049,346,687
BLR,2019,645,776,0,1049,349,681
BEL,1990,125,184,16,2100,102,135
BEL,1991,119,183,0,2051,99,138
BEL,1992,120,207,0,1992,94,144
BEL,1993,115,224,0,1949,89,144
BEL,1994,115,222,0,1913,84,170
BEL,1995,108,217,6,1835,79,147
BEL,1996,99,224,0,1766,72,141
BEL,1997,93,213,0,1718,67,146
BEL,1998,90,247,1,1695,59,147
BEL,1999,88,268,2,1686,54,149
BEL,2000,89,213,1,1683,54,146
BEL,2001,91,218,0,1614,52,144
BEL,2002,94,219,3,1515,50,142
BEL,2003,92,182,0,1413,46,144
BEL,2004,88,199,0,1322,45,140
BEL,2005,88,193,1,1266,44,138
BEL,2006,88,182,0,1221,43,138
BEL,2007,88,185,2,1200,42,139
BEL,2008,89,166,0,1162,43,142
BEL,2009,86,168,0,1101,41,142
BEL,2010,84,160,4,1050,42,138
BEL,2011,84,183,5,1014,40,136
BEL,2012,82,176,0,965,39,137
BEL,2013,81,159,0,927,39,134
BEL,2014,80,169,0,885,37,129
BEL,2015,82,162,0,869,36,129
BEL,2016,79,168,2,847,35,127
BEL,2017,78,163,0,864,36,127
BEL,2018,78,163,1,880,36,128
BEL,2019,77,163,0,888,37,129
BLZ,1990,15,17,0,34,4,4
BLZ,1991,17,19,0,40,5,4
BLZ,1992,17,20,0,42,4,4
BLZ,1993,16,19,0,42,4,4
BLZ,1994,15,22,0,44,3,3
BLZ,1995,17,20,0,52,3,4
BLZ,1996,18,25,0,56,3,4
BLZ,1997,18,34,0,62,3,4
BLZ,1998,19,44,9,64,3,4
BLZ,1999,19,42,0,64,2,4
BLZ,2000,19,46,14,63,2,4
BLZ,2001,19,53,30,64,2,4
BLZ,2002,20,62,0,63,2,4
BLZ,2003,20,59,0,61,2,3
BLZ,2004,20,57,0,60,2,3
BLZ,2005,21,66,3,59,2,3
BLZ,2006,20,68,0,58,1,3
BLZ,2007,21,68,0,58,1,3
BLZ,2008,21,75,8,57,1,3
BLZ,2009,21,87,0,56,1,3
BLZ,2010,22,96,0,58,1,3
BLZ,2011,22,98,0,61,1,3
BLZ,2012,22,100,0,61,1,3
BLZ,2013,22,98,0,64,1,3
BLZ,2014,23,94,0,66,1,3
BLZ,2015,23,100,0,69,1,4
BLZ,2016,24,109,0,73,1,4
BLZ,2017,25,111,0,76,1,4
BLZ,2018,25,112,0,78,1,4
BLZ,2019,26,114,0,80,1,4
BEN,1990,341,259,0,1053,132,191
BEN,1991,367,271,3,1087,136,194
BEN,1992,344,287,0,1113,140,198
BEN,1993,353,304,0,1139,144,203
BEN,1994,359,323,0,1181,149,208
BEN,1995,377,342,20,1220,154,213
BEN,1996,359,360,11,1256,158,218
BEN,1997,370,381,0,1285,162,223
BEN,1998,356,403,0,1311,165,228
BEN,1999,379,418,3,1343,168,231
BEN,2000,352,437,0,1383,173,237
BEN,2001,341,454,0,1393,173,236
BEN,2002,375,469,0,1444,181,248
BEN,2003,387,482,0,1456,182,249
BEN,2004,391,498,0,1494,189,258
BEN,2005,373,512,0,1506,190,259
BEN,2006,372,527,0,1524,193,263
BEN,2007,390,546,10,1536,195,264
BEN,2008,393,569,15,1567,199,274
BEN,2009,404,604,10,1617,205,279
BEN,2010,417,640,46,1677,212,290
BEN,2011,406,670,0,1726,219,298
BEN,2012,427,697,4,1780,227,308
BEN,2013,415,727,0,1747,229,313
BEN,2014,421,758,0,1759,226,309
BEN,2015,422,785,0,1873,234,321
BEN,2016,426,819,0,1915,236,325
BEN,2017,421,846,0,1951,236,326
BEN,2018,395,876,0,1924,225,315
BEN,2019,384,898,0,1937,222,312
BMU,1990,4,2,0,13,1,0
BMU,1991,4,3,0,13,1,0
BMU,1992,4,2,0,12,1,0
BMU,1993,3,2,0,12,1,0
BMU,1994,3,3,0,11,1,0
BMU,1995,3,2,0,11,0,0
BMU,1996,3,2,0,10,0,0
BMU,1997,3,2,0,10,0,0
BMU,1998,3,2,0,10,0,0
BMU,1999,2,2,0,9,0,0
BMU,2000,2,2,2,9,0,0
BMU,2001,2,2,0,8,0,0
BMU,2002,2,2,0,8,0,0
BMU,2003,2,2,4,8,0,0
BMU,2004,2,2,0,8,0,0
BMU,2005,2,2,0,8,0,0
BMU,2006,2,2,0,7,0,0
BMU,2007,2,2,0,7,0,0
BMU,2008,2,2,0,7,0,0
BMU,2009,2,2,0,7,0,0
BMU,2010,2,3,0,7,0,0
BMU,2011,2,2,0,7,0,0
BMU,2012,2,2,0,7,0,0
BMU,2013,2,2,0,7,0,0
BMU,2014,2,2,0,7,0,0
BMU,2015,2,2,0,7,0,0
BMU,2016,2,2,0,7,0,0
BMU,2017,2,2,0,7,0,0
BMU,2018,2,2,0,7,0,0
BMU,2019,2,2,0,7,0,0
BTN,1990,43,11,0,75,4,9
BTN,1991,42,10,0,72,4,9
BTN,1992,40,10,0,70,4,9
BTN,1993,38,10,0,71,4,9
BTN,1994,37,10,39,71,3,9
BTN,1995,37,11,0,72,3,9
BTN,1996,37,11,0,72,4,9
BTN,1997,39,11,0,75,4,10
BTN,1998,39,12,0,76,4,10
BTN,1999,35,11,0,72,3,9
BTN,2000,37,12,200,75,4,10
BTN,2001,36,11,0,73,4,10
BTN,2002,33,10,0,71,3,9
BTN,2003,33,9,0,71,3,9
BTN,2004,31,8,0,70,3,9
BTN,2005,29,8,0,68,3,9
BTN,2006,26,8,0,66,3,8
BTN,2007,29,8,0,68,3,9
BTN,2008,28,8,0,69,3,9
BTN,2009,28,9,23,69,3,9
BTN,2010,27,9,0,69,3,9
BTN,2011,26,9,1,70,3,9
BTN,2012,25,9,0,70,2,9
BTN,2013,25,9,0,69,2,9
BTN,2014,24,9,0,69,2,9
BTN,2015,23,8,0,67,2,9
BTN,2016,23,8,0,67,2,9
BTN,2017,22,8,0,66,2,9
BTN,2018,22,8,0,65,2,9
BTN,2019,21,7,0,64,2,8
BOL,1990,746,460,0,1907,131,261
BOL,1991,745,470,0,1918,129,259
BOL,1992,737,478,53,1929,128,256
BOL,1993,725,491,0,1939,125,253
